Match #,Date,Time,Home Club,Home Team,Home Score,Away Club,Away Team,Away Score,Location,Division,Age,Gender,Status,Event Name
6,04/10/2026,19:00 EDT,Mechanicville-Stillwater,MSUSC U16G,2,Saratoga-Wilton,SWSC U15 Girls,0,Afrim's Sports Park - Afrim's Sports Park Field 4B - OUT,Upstate U16 Girls,16,Female,Scheduled,Northeast Classic - Girls 2026
108,04/11/2026,14:30 EDT,Mechanicville-Stillwater,MSUSC U16G,3,Capital CIty FC,Capital City FC U16 Girls Integrity,1,Afrim's Sports Park - Afrim's Sports Park Field 2 - OUT,Upstate U16 Girls,16,Female,Scheduled,Northeast Classic - Girls 2026
109,04/11/2026,18:30 EDT,Rush NY- Albany,NY Rush Select 11G DPL,2,Mechanicville-Stillwater,MSUSC U16G,0,Afrim's Sports Park - Afrim's Sports Park Field 2 - OUT,Upstate U16 Girls,16,Female,Scheduled,Northeast Classic - Girls 2026
126,04/12/2026,11:00 EDT,Mechanicville-Stillwater,MSUSC U16G,0,Empire State Youth Soccer Club,Alleycats NPL G11,2,Afrim's Sports Park - Afrim's Sports Park Field 3 - OUT,Upstate U16 Girls,16,Female,Scheduled,Northeast Classic - Girls 2026
1022,04/18/2026,11:00 EDT,Saratoga-Wilton,SWSC U16 Girls,7,Mechanicville-Stillwater,MSUSC U16 Girls (Spring 2026),0,Gavin Park - Field 9,U16G Bracket,16,Female,"",CDYSL 2026 Spring Season
182,04/18/2026,12:00 EDT,Saratoga-Wilton,SWSC U15/16 Boys White,1,Mechanicville-Stillwater,MSUSC U16 Gunners,2,Afrim's Sports Park - Afrim's Sports Park Field 3 - OUT,Capital District U16 Boys,16,Male,Scheduled,Northeast Classic - Boys 2026
183,04/18/2026,15:30 EDT,VT Fusion Soccer,Vermont Fusion U16,2,Mechanicville-Stillwater,MSUSC U16 Gunners,1,Afrim's Sports Park - Afrim's Sports Park Field 4 - OUT,Capital District U16 Boys,16,Male,Scheduled,Northeast Classic - Boys 2026
803,04/18/2026,17:45 EDT,Mechanicville-Stillwater,MSUSC U14 Boys (Spring 2026),0,FC Dutchmen,FC Dutchmen Surf STRIKERS 2012 boys NPL,8,MSYSL Fields - Field 4,Division 3,14,Male,"",CDYSL 2026 Spring Season
167,04/19/2026,13:30 EDT,Saints FC,Leeds,0,Mechanicville-Stillwater,MSUSC U16 Gunners,1,Afrim's Sports Park - Afrim's Sports Park Dome,Capital District U16 Boys,16,Male,Scheduled,Northeast Classic - Boys 2026
1013,04/19/2026,14:45 EDT,Capital CIty FC,Capital City FC U16 Girls Integrity - CDYSL,0,Mechanicville-Stillwater,MSUSC U16 Girls (Spring 2026),6,Lansingburgh High School - Soccer Field,U16G Bracket,16,Female,"",CDYSL 2026 Spring Season
191,04/19/2026,17:30 EDT,Colonie,Colonie U16 Boys Gold,1,Mechanicville-Stillwater,MSUSC U16 Gunners,0,Afrim's Sports Park - Afrim's Sports Park Dome,Capital District U16 Boys,16,Male,Scheduled,Northeast Classic - Boys 2026
104,04/20/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),17,Fifty Football Club,Fifty FC U8 Coed 25-26 Black,20,MSYSL Fields - Field 1,Division 3,8,Coed,"",CDYSL 2026 Spring Season
614,04/21/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U12 Boys Reds (Spring 2026),4,Northern United Soccer Club,U12B Wolves,3,MSYSL Fields - Field 3,Division 4,12,Male,"",CDYSL 2026 Spring Season
1186,04/21/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U10 Boys Gunners (Spring 2026),0,Fifty Football Club,Fifty FC U10 Boys 25-26 Black,5,MSYSL Fields - Field 2,Division 3,10,Male,"",CDYSL 2026 Spring Season
102,04/25/2026,10:00 EDT,Mechanicville-Stillwater,MSUSC U8 Boys Gunners (Spring 2026),14,Saratoga-Wilton,SWSC U8 Boys White,14,MSYSL Fields - Field 1,Division 3,8,Coed,"",CDYSL 2026 Spring Season
1020,04/26/2026,14:45 EDT,Mechanicville-Stillwater,MSUSC U16 Girls (Spring 2026),2,Brunswick,Brunswick U16 Girls CDYSL 2026,1,MSYSL Fields - Field 4,U16G Bracket,16,Female,"",CDYSL 2026 Spring Season
804,04/26/2026,17:45 EDT,Mechanicville-Stillwater,MSUSC U14 Boys (Spring 2026),3,Niskayuna Soccer Club,Niskayuna U14 Boys 2025-26,5,MSYSL Fields - Field 4,Division 3,14,Male,"",CDYSL 2026 Spring Season
111,04/27/2026,18:30 EDT,FC Dutchmen,FC Dutchmen Suf WAVE 2018 girls,7,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),26,Dicaprio Park - Field 2,Division 3,8,Coed,"",CDYSL 2026 Spring Season
544,04/28/2026,18:30 EDT,Saratoga-Wilton,SWSC U12 Boys White,8,Mechanicville-Stillwater,MSUSC U12 Boys Gunners (Spring 2026),1,Gavin Park - 6A,Division 3,12,Male,"",CDYSL 2026 Spring Season
1195,04/28/2026,18:30 EDT,Albany SC,Eagles - Albany Soccer Club,4,Mechanicville-Stillwater,MSUSC U10 Boys Gunners (Spring 2026),1,"hoffman park FBI Field (U8, U10, U12) - hoffman park FBI Field (U8, U10, U12)",Division 3,10,Male,"",CDYSL 2026 Spring Season
328,04/28/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U10 Boys Lions (Spring 2026),3,Niskayuna Soccer Club,Niskayuna U9 Boys White 2025-26,4,MSYSL Fields - Field 2,Division 4,10,Male,"",CDYSL 2026 Spring Season
728,04/29/2026,18:30 EDT,Greenville,Greenville U12 Girls Galaxy,1,Mechanicville-Stillwater,MSUSC U12 Girls (Spring 2026),2,Greenville Town Park (George V Vanderbilt Park) - Field 2,Division 4,12,Female,"",CDYSL 2026 Spring Season
622,04/30/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U12 Boys Reds (Spring 2026),,Colonie,Colonie U12 Boys Garnet,,MSYSL Fields - Field 3,Division 4,12,Male,"",CDYSL 2026 Spring Season
108,04/30/2026,18:30 EDT,Clifton Park,CPSC Evolution U8 Boys Black 25/26,3,Mechanicville-Stillwater,MSUSC U8 Boys Gunners (Spring 2026),24,Clifton Common  - U8 A,Division 3,8,Coed,"",CDYSL 2026 Spring Season
893,04/30/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U14 Girls (Spring 2026),1,FC Dutchmen,FC Dutchmen Surf FURY 2012g DPL,8,MSYSL Fields - Field 4,Division 2,14,Female,"",CDYSL 2026 Spring Season
811,05/01/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U14 Boys (Spring 2026),1,FC Dutchmen,FC Dutchmen Surf RIPTIDE 2013 boys NPL,1,MSYSL Fields - Field 4,Division 3,14,Male,"",CDYSL 2026 Spring Season
535,05/01/2026,18:30 EDT,Rotterdam,RUSC U12 Boys,0,Mechanicville-Stillwater,MSUSC U12 Boys Gunners (Spring 2026),1,Rotterdam United Soccer Fields - U12 Field 1,Division 3,12,Male,"",CDYSL 2026 Spring Season
150,05/02/2026,10:00 EDT,Clifton Park,CPSC Evolution U8 Boys Black 25/26,4,Mechanicville-Stillwater,MSUSC U8 Boys Gunners (Spring 2026),14,Clifton Common  - U8 A,Division 3,8,Coed,"",CDYSL 2026 Spring Season
23,05/03/2026,08:00 EDT,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),,Saratoga-Wilton,SWSC U8 Girls White,,Gavin Park - MDC (U8) Field D1,U8 - Alabama,8,Coed,"",May Day Classic 2026
20,05/03/2026,09:00 EDT,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),,Saratoga-Wilton,SWSC U8 Boys Silver,,Gavin Park - MDC (U8) Field C1,U8 - Alabama,8,Coed,"",May Day Classic 2026
31,05/03/2026,11:00 EDT,Empire State Youth Soccer Club,Alleycats U8 Lil Cats White,,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),,Gavin Park - MDC (U8) Field D1,U8 - Alabama,8,Coed,"",May Day Classic 2026
